gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	signature_direction	rank_within_direction	selection_cohort	validation_used_for_selection
FABP1	-0.6395843	-0.6382067	-0.9186004295945168	-0.3872826799750328	1.0	0.0009990009990009	0.052314155	0.0126510092688221	False	True	True	0.6395843	adenoma_down	1.0	Chen discovery only	False
LGALS3	-0.629991	-0.63404036	-0.8706239506602287	-0.3550272025167942	1.0	0.0009990009990009	0.011975831	0.0126510092688221	False	True	True	0.629991	adenoma_down	2.0	Chen discovery only	False
PHGR1	-0.6200017	-0.62074095	-0.9226573079824448	-0.3288206137716771	1.0	0.0009990009990009	0.01290823	0.0126510092688221	False	True	True	0.6200017	adenoma_down	3.0	Chen discovery only	False
PCK1	-0.6020564	-0.60729563	-0.907538415491581	-0.243793984875083	1.0	0.0009990009990009	0.10194124	0.0126510092688221	False	True	True	0.6020564	adenoma_down	4.0	Chen discovery only	False
LGALS4	-0.5996236	-0.59609747	-0.871893173456192	-0.3489664018154145	1.0	0.0009990009990009	0.0062964093	0.0126510092688221	False	True	True	0.5996236	adenoma_down	5.0	Chen discovery only	False
CHP2	-0.5934963	-0.59324306	-0.7902244299650192	-0.4028789587318898	1.0	0.0009990009990009	0.09172265	0.0126510092688221	False	True	True	0.5934963	adenoma_down	6.0	Chen discovery only	False
C15orf48	-0.5671823	-0.56865966	-0.7759456112980843	-0.3252835415303707	1.0	0.0009990009990009	0.10166435	0.0126510092688221	False	True	True	0.5671823	adenoma_down	7.0	Chen discovery only	False
B2M	-0.5610498	-0.56878865	-0.9227504387497902	-0.1474449269473553	0.998	0.004	0.107361674	0.0286121842496285	False	True	True	0.5610498	adenoma_down	8.0	Chen discovery only	False
BSG	-0.54873323	-0.5418382	-0.7395636662840843	-0.3765423193573952	1.0	0.0009990009990009	0.04238669	0.0126510092688221	False	True	True	0.54873323	adenoma_down	9.0	Chen discovery only	False
DHRS11	-0.5168385	-0.5150502	-0.7160357534885406	-0.3252331122756005	1.0	0.0009990009990009	0.03144986	0.0126510092688221	False	True	True	0.5168385	adenoma_down	10.0	Chen discovery only	False
SLC9A3-OT1	-0.50931203	-0.5147121	-0.7118944317102432	-0.3328219071030617	1.0	0.0009990009990009	0.08932551	0.0126510092688221	False	True	True	0.50931203	adenoma_down	11.0	Chen discovery only	False
CA2	-0.50416976	-0.5125221	-0.6816637873649597	-0.3085517391562462	1.0	0.0009990009990009	0.06303602	0.0126510092688221	False	True	True	0.50416976	adenoma_down	12.0	Chen discovery only	False
ETHE1	-0.50222063	-0.4986599	-0.7290837660431861	-0.259525553882122	1.0	0.0009990009990009	0.005585316	0.0126510092688221	False	True	True	0.50222063	adenoma_down	13.0	Chen discovery only	False
