collection	gene_set	description	discovery_common_direction	discovery_common_p	discovery_common_fdr	heldout_common_direction	heldout_common_p	heldout_common_fdr	n_state_direction_match	opposite_supported_state	replicated	fgsea_nes	fgsea_p_value	fgsea_fdr	leading_edge	leading_edge_size	node_id	community_id
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	Down	3.74407865405855e-06	3.74407865405855e-05	Down	4.1759852942336e-08	6.68157647077375e-07	6	FALSE	TRUE	-2.36950730436232	6.08229455329938e-12	1.62194521421317e-11	ATP5PO;NDUFAB1;GHITM;SUCLG1;IDH1;PGM1;APLP2;COX6A1;SCP2;SQOR;AK2;DLD;HADH;MTCH2;ECH1;PDCD4;MGST3;TST;ACAA2;NDUFA5;CAT;CS;ACADM;SDHC;SOWAHC;CYC1;PHYH;PRDX3;NDUFS3;COX8A;CHCHD10;IMMT;COX7B;TOB1;RETSAT;UBQLN1;SDHB;ECHS1;DECR1;DLAT;ALDH2;EPHX2;MRPL15;QDPR;RIOK3;UQCRQ;DNAJC15;PPP1R15B;FAH;UQCR10;CHUK;REEP5;UQCRC1;JAGN1;DRAM2;AIFM1;CMBL;COQ5;ETFB;ACADS;IDH3A;ELOVL6;NDUFB7;ATP1B3;G3BP2;ALDOA	66	Hallmark 2026.1.Hs::HALLMARK_ADIPOGENESIS	1
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	Down	0.00326841842584297	0.0204276151615186	Down	9.56102739746307e-05	0.000764882191797046	6	FALSE	TRUE	-1.74488168255073	0.00245354462161447	0.00245354462161447	HSD17B11;IDH1;SCP2;ISOC1;CAT;ALDH9A1;SULT1B1;PHYH;PXMP2;PEX11A;RETSAT;TFCP2L1;EPHX2;ABCD3;HSD17B4;GSTK1;ALDH1A1;ABCA5;IDI1;CROT;DHCR24;OPTN;PRDX5;SOD1;PEX7	25	Hallmark 2026.1.Hs::HALLMARK_BILE_ACID_METABOLISM	2
Hallmark 2026.1.Hs	HALLMARK_FATTY_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_FATTY_ACID_METABOLISM	Down	7.62596384952843e-10	1.90649096238211e-08	Down	1.07289997700141e-09	2.57495994480338e-08	6	FALSE	TRUE	-2.60401029749011	1.659297601387e-14	6.63719040554802e-14	MAOA;SDHD;HPGD;CPT1A;FH;SUCLG1;PRDX6;HSD17B11;IDH1;HMGCS2;CA2;S100A10;UGDH;SLC22A5;DLD;HADH;ECH1;YWHAH;ACAA2;MDH1;ACADM;SDHC;ALDH9A1;TP53INP2;ETFDH;OSTC;FABP1;ECI2;PDHA1;ADH1C;H2AZ1;EHHADH;SUCLG2;ACOT2;CBR1;SERINC1;RETSAT;ECHS1;DECR1;GLUL;HADHB;PDHB;LDHA;HSD17B4;METAP1;ALDH1A1;SMS;SDHA;DLST;PTS;IDI1;ACADS;ALAD;APEX1;CA4;ALDOA;NBN;ECI1;ALDH3A2;ACOX1;HMGCL;RDH11;DHCR24;PCBD1;HSDL2	65	Hallmark 2026.1.Hs::HALLMARK_FATTY_ACID_METABOLISM	3
Hallmark 2026.1.Hs	HALLMARK_HYPOXIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_HYPOXIA	Down	0.00279180169372406	0.0199414406694576	Down	0.000368936270616882	0.00233924520042585	6	FALSE	TRUE	-1.85515760161736	6.82905305427417e-05	9.10540407236555e-05	FAM162A;PCK1;STBD1;PGM1;PGK1;CITED2;NDRG1;UGP2;MYH9;PGM2;TES;PPARGC1A;MXI1;CA12;CDKN1B;PIM1;HSPA5;GCNT2;MT1E;PLAC8;LDHA;ZFP36;EFNA1;BTG1;BCL2;B4GALNT2;MT2A;TPD52;FOSL2;TPI1;ALDOA;CCNG2;ERO1A;SDC4;KLF6;GPI;PRDX5;VEGFA;PDK3;ENO1;SLC25A1;SIAH2;PDK1;GLRX	44	Hallmark 2026.1.Hs::HALLMARK_HYPOXIA	4
Hallmark 2026.1.Hs	HALLMARK_MTORC1_SIGNALING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MTORC1_SIGNALING	Down	1.51659044794915e-06	1.89573805993643e-05	Down	4.87473445128416e-05	0.000467974507323279	6	FALSE	TRUE	-2.35369888650921	3.81532784770091e-11	7.63065569540183e-11	CD9;GOT1;IDH1;PGM1;PGK1;ATP5MC1;HSPE1;UNG;RAB1A;SC5D;GSR;HSPA9;ATP6V1D;TES;COPS5;SKAP2;PSMG1;IMMT;SEC11A;PSMA3;CYB5B;RPN1;HSPD1;CACYBP;HSPA5;ACTR3;HPRT1;QDPR;HMGCR;TOMM40;SERP1;PPIA;CANX;LDHA;PSME3;EDEM1;UBE2D3;UFM1;SSR1;PSMC6;PSMC2;RPA1;IFRD1;ATP2A2;TPI1;IDI1;ASNS;MCM4;PSMD14;ELOVL6;EEF1E1;TCEA1;ACTR2;CCT6A;ALDOA;MTHFD2L;LTA4H;ERO1A;TXNRD1;ETF1;RDH11;TFRC;SLC1A5;GPI;DHCR24	65	Hallmark 2026.1.Hs::HALLMARK_MTORC1_SIGNALING	5
Hallmark 2026.1.Hs	HALLMARK_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_OXIDATIVE_PHOSPHORYLATION	Down	6.09144017715608e-20	3.04572008857804e-18	Down	8.71153884768124e-17	4.18153864688699e-15	6	FALSE	TRUE	-3.38988805911867	6.13503820662558e-43	4.90803056530046e-42	COX5A;ATP5MC3;SDHD;MPC1;CYCS;CPT1A;COX6C;ATP5PO;FH;NDUFAB1;ATP5F1C;ATP5PD;SUCLG1;SLC25A5;HADHA;NDUFB5;MRPL34;IDH1;ATP5PF;ATP5F1A;NDUFA6;COX7C;COX6A1;UQCRFS1;ATP5F1B;DLD;SLC25A3;ACAT1;ECH1;MGST3;ATP5PB;ATP5MC1;ATP5MG;NDUFB6;CYB5A;NDUFA1;ACAA2;UQCRC2;NDUFA5;VDAC2;CS;MFN2;MDH1;ACADM;SDHC;NDUFC1;NDUFB3;ETFDH;CYC1;MRPL35;PHYH;ATP5F1E;COX4I1;NDUFB4;HSPA9;PRDX3;NDUFC2;NDUFS3;ATP6V1D;COX10;TOMM22;ISCA1;ISCU;PDHA1;NDUFS1;NDUFS2;COX7A2L;COX8A;COX5B;NDUFS4;OAT;IMMT;COX7A2;NDUFB1;NDUFA8;OXA1L;COX7B;CASP7;UQCRH;MRPS30;ETFA;RETSAT;NDUFB2;TIMM17A;SDHB;ECHS1;ATP5MF;DECR1;DLAT;SLC25A4;MRPL15;HADHB;ALDH6A1;COX11;FDX1;UQCRQ;NDUFA3;PDHB;LDHA;COX6B1;UQCR10;MTX2;VDAC3;NDUFA4;LRPPRC;VDAC1;UQCRC1;ATP6V1G1;ACADSB;NDUFA2;AIFM1;SLC25A20;MRPL11;SLC25A6;ATP5MC2;TIMM8B;SDHA;ETFB;NNT;DLST;MRPS15;NDUFB8;ATP5ME;IDH3A;ATP5F1D;NDUFB7;LDHB;ECI1;MTRR;PHB2;NDUFS6;NDUFV1;NDUFS8;BDH2	134	Hallmark 2026.1.Hs::HALLMARK_OXIDATIVE_PHOSPHORYLATION	6
Hallmark 2026.1.Hs	HALLMARK_XENOBIOTIC_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_XENOBIOTIC_METABOLISM	Down	7.71141262254095e-05	0.000642617718545079	Down	3.54339123449191e-05	0.00042520694813903	6	FALSE	TRUE	-2.18106948202976	6.71115281697018e-08	1.07378445071523e-07	MAOA;IDH1;CA2;NDRG2;UGDH;DDC;ECH1;PGRMC1;CYB5A;CAT;SPINT2;CYP2J2;HSD17B2;ALDH9A1;ADH5;ETFDH;SSR3;GSR;FABP1;PTGR1;GSTM4;ADH1C;CBR1;DHRS1;TMBIM6;RETSAT;ALDH2;HPRT1;IGFBP4;GCNT2;SLC35D1;PAPSS2;FAH;NFS1;AKR1C3;SAR1B;MT2A;CNDP2;ATP2A2;PTS;SLC35B1;ACP1;GSS;GSTO1	44	Hallmark 2026.1.Hs::HALLMARK_XENOBIOTIC_METABOLISM	7
Reactome 2026.1.Hs	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Asparagine N-linked glycosylation	Down	0.00323379365936332	0.0431036040925262	Down	0.00217723113615001	0.068550967762323	6	FALSE	TRUE	-1.74181024978708	2.1646846562109e-05	4.50975970043938e-05	TMED7;RNF5;DYNLL1;TRIM13;ARF3;CMAS;DPM1;ARF1;UAP1;RNF103;FUCA1;RAB1A;ACTR10;OSTC;TMED2;MGAT4A;ARCN1;DYNLL2;CD59;MGAT4B;CNIH1;DAD1;DCTN2;RPS27A;RPN1;KDELR2;SPTBN1;SLC35A1;LMAN1;DCTN6;COPG1;UBB;GNE;ALG2;COPB2;TMED10;CANX;ARF4;GANAB;RAD23B;MIA2;SAR1B;PGM3;EDEM1;ALG5;MPI;NANS;MAN2A1;DERL1;B4GALNT2;TFG;CAPZA1;TRAPPC2;COPA;COG2;DYNC1I2;TRAPPC1;TGFA;NSF;TMEM258;COPZ1;OST4;DOLPP1;DPAGT1;MARCHF6;SEC22B;MAN1A1;STT3A;NEU4;ALG13;TRAPPC10;DHDDS;CTSA;ST6GALNAC3;COG3;SEC13;DCTN3;ST6GAL1;GFPT1;COPB1;AMFR	81	Reactome 2026.1.Hs::REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	8
Reactome 2026.1.Hs	REACTOME_BIOLOGICAL_OXIDATIONS	Biological oxidations	Down	0.000278680671397758	0.00838430705662397	Down	0.00209897795415123	0.068550967762323	6	FALSE	TRUE	-2.13210959369839	9.18845913195522e-07	2.2971147829888e-06	UGT2A3;MAOA;MGST1;UGDH;MGST2;MGST3;UGP2;GGCT;CYP2J2;MAT2B;ACSS2;SULT1B1;ADH5;BPNT2;GSTM4;ADH1C;CYB5B;ALDH2;FDX1;SLC35D1;GSTK1;AKR7A2;UGT2B17;NAT1;ALDH1A1;CMBL;CNDP2;BPNT1;CES2;GSS;GSTO1	31	Reactome 2026.1.Hs::REACTOME_BIOLOGICAL_OXIDATIONS	9
Reactome 2026.1.Hs	REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	Budding and maturation of HIV virion	Down	0.0018390950669372	0.0312349533142721	Down	0.00430181898311907	0.0992419635175377	6	FALSE	TRUE	-1.83658678488519	0.00190330829179311	0.00216285033158308	CHMP5;RPS27A;UBB;PPIA;PDCD6IP;CHMP4B;VPS4B;CHMP2B;TSG101;VTA1;CHMP3;CHMP2A;UBA52;MVB12B	14	Reactome 2026.1.Hs::REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION	10
